Category,City,Country,Customer Name,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,Profit,Profit Ratio,Quantity,Sales
Furniture,Lake Charles,United States,Harry Greene,Global,4/29/2013,CA-2011-142727,70601,"Global Stack Chair without Arms, Black",South,Consumer,5/1/2013,Second Class,Louisiana,Chairs,0%,1,$13,25%,2,$52
Office Supplies,Lake Charles,United States,Harry Greene,Avery,4/29/2013,CA-2011-142727,70601,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,South,Consumer,5/1/2013,Second Class,Louisiana,Binders,0%,1,$9,48%,3,$18
Furniture,Memphis,United States,Laura Armstrong,Global,4/29/2013,CA-2011-107811,38109,Global Leather Executive Chair,South,Corporate,5/3/2013,Standard Class,Tennessee,Chairs,20%,1,$70,13%,2,$562
Office Supplies,Memphis,United States,Laura Armstrong,Other,4/29/2013,CA-2011-107811,38109,2300 Heavy-Duty Transfer File Systems by Perma,South,Corporate,5/3/2013,Standard Class,Tennessee,Storage,20%,1,-$1,-1%,5,$100
Technology,Dover,United States,Katherine Hughes,Square,4/29/2013,CA-2011-118304,19901,Square Credit Card Reader,East,Consumer,5/4/2013,Standard Class,Delaware,Phones,0%,1,$5,26%,2,$20
Technology,Jackson,United States,Tamara Manning,Maxell,4/30/2013,CA-2011-156006,39212,Maxell 4.7GB DVD-RW 3/Pack,South,Consumer,5/2/2013,Second Class,Mississippi,Accessories,0%,1,$16,34%,3,$48
Office Supplies,Louisville,United States,Justin MacKendrick,Hunt,4/30/2013,CA-2011-160094,40214,Hunt Boston Vacuum Mount KS Pencil Sharpener,South,Consumer,5/2/2013,First Class,Kentucky,Art,0%,1,$45,26%,5,$175
Office Supplies,Louisville,United States,Justin MacKendrick,Other,4/30/2013,CA-2011-160094,40214,Economy Rollaway Files,South,Consumer,5/2/2013,First Class,Kentucky,Storage,0%,1,$215,26%,5,$826
Office Supplies,Columbus,United States,Andrew Roberts,Belkin,5/2/2013,CA-2011-115056,43229,Belkin 6 Outlet Metallic Surge Strip,East,Consumer,5/2/2013,Same Day,Ohio,Appliances,20%,1,$2,8%,3,$26
Technology,Lakeland,United States,Cari Schnelling,Brother,5/2/2013,CA-2011-124618,33801,Brother DCP1000 Digital 3 in 1 Multifunction Machine,South,Consumer,5/4/2013,Second Class,Florida,Copiers,20%,1,$90,19%,2,$480
Office Supplies,Appleton,United States,Joni Sundaresam,Avery,5/3/2013,CA-2011-130274,54915,Avery 481,Central,Home Office,5/5/2013,First Class,Wisconsin,Labels,0%,1,$10,48%,7,$22
Office Supplies,Yonkers,United States,Nathan Cano,GBC,5/3/2013,CA-2011-135755,10701,GBC Poly Designer Binding Covers,East,Consumer,5/10/2013,Standard Class,New York,Binders,20%,1,$15,36%,3,$40
Office Supplies,Yonkers,United States,Nathan Cano,Avery,5/3/2013,CA-2011-135755,10701,"Avery Durable Plastic 1"" Binders",East,Consumer,5/10/2013,Standard Class,New York,Binders,20%,1,$4,36%,3,$11
Office Supplies,Jackson,United States,Paul MacIntyre,Fellowes,5/4/2013,CA-2011-117709,49201,Fellowes Binding Cases,Central,Consumer,5/8/2013,Standard Class,Michigan,Binders,0%,1,$21,45%,4,$47
Furniture,Middletown,United States,Andrew Allen,DAX,5/4/2013,CA-2011-155271,6457,DAX Wood Document Frame,East,Consumer,5/4/2013,Same Day,Connecticut,Furnishings,0%,1,$10,36%,2,$27
Office Supplies,Houston,United States,Nat Carroll,Boston,5/4/2013,CA-2011-111899,77036,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Central,Consumer,5/5/2013,First Class,Texas,Art,20%,1,$3,8%,2,$38
Office Supplies,Houston,United States,Nat Carroll,OIC,5/4/2013,CA-2011-111899,77036,OIC Thumb-Tacks,Central,Consumer,5/5/2013,First Class,Texas,Fasteners,20%,1,$2,34%,6,$5
Furniture,Seattle,United States,Bill Shonely,Eldon,5/4/2013,US-2011-148194,98105,"Eldon Regeneration Recycled Desk Accessories, Smoke",West,Corporate,5/7/2013,First Class,Washington,Furnishings,0%,1,$4,32%,7,$12
Office Supplies,Seattle,United States,Bill Shonely,Holmes,5/4/2013,US-2011-148194,98105,Holmes Odor Grabber,West,Corporate,5/7/2013,First Class,Washington,Appliances,0%,1,$19,33%,4,$58
Office Supplies,Richmond,United States,Peter Fuller,Adams,5/5/2013,CA-2011-166457,40475,"Adams ""While You Were Out"" Message Pads",South,Consumer,5/9/2013,Second Class,Kentucky,Paper,0%,1,$4,45%,3,$9
Office Supplies,Richmond,United States,Peter Fuller,Newell,5/5/2013,CA-2011-166457,40475,Newell 350,South,Consumer,5/9/2013,Second Class,Kentucky,Art,0%,1,$2,29%,2,$7
Office Supplies,Richmond,United States,Peter Fuller,Xerox,5/5/2013,CA-2011-166457,40475,Xerox 1933,South,Consumer,5/9/2013,Second Class,Kentucky,Paper,0%,1,$12,47%,2,$25
Furniture,San Antonio,United States,Emily Burns,Global,5/5/2013,CA-2011-110219,78207,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumer,5/8/2013,First Class,Texas,Chairs,30%,1,-$9,-7%,3,$128
Office Supplies,Freeport,United States,Katharine Harms,Eldon,5/5/2013,CA-2011-160738,61032,Eldon Portable Mobile Manager,Central,Corporate,5/10/2013,Standard Class,Illinois,Storage,20%,1,$4,9%,2,$45
Office Supplies,Arlington,United States,Giulietta Dortch,Storex,5/5/2013,CA-2011-111934,22204,Storex Dura Pro Binders,South,Corporate,5/7/2013,First Class,Virginia,Binders,0%,1,$5,45%,2,$12
Office Supplies,Arlington,United States,Giulietta Dortch,Easy-staple paper,5/5/2013,CA-2011-111934,22204,Easy-staple paper,South,Corporate,5/7/2013,First Class,Virginia,Paper,0%,1,$17,47%,1,$35
Office Supplies,Los Angeles,United States,Harold Pawlan,Wilson Jones,5/6/2013,CA-2011-121664,90049,Wilson Jones Legal Size Ring Binders,West,Home Office,5/10/2013,Standard Class,California,Binders,20%,1,$53,38%,8,$141
Office Supplies,Los Angeles,United States,Steve Nguyen,Staple-on labels,5/6/2013,US-2011-154879,90004,Staple-on labels,West,Home Office,5/11/2013,Standard Class,California,Labels,0%,1,$3,47%,2,$6
Office Supplies,Los Angeles,United States,Steve Nguyen,Other,5/6/2013,US-2011-154879,90004,Model L Table or Wall-Mount Pencil Sharpener,West,Home Office,5/11/2013,Standard Class,California,Art,0%,1,$30,28%,6,$108
Office Supplies,Lawrence,United States,Carol Triggs,Acco,5/7/2013,CA-2011-166086,1841,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",East,Consumer,5/12/2013,Standard Class,Massachusetts,Binders,0%,1,$8,49%,3,$16
Furniture,Lawrence,United States,Carol Triggs,Balt,5/7/2013,CA-2011-166086,1841,Balt Split Level Computer Training Table,East,Consumer,5/12/2013,Standard Class,Massachusetts,Tables,30%,1,-$39,-20%,2,$194
Office Supplies,Lawrence,United States,Carol Triggs,Newell,5/7/2013,CA-2011-166086,1841,Newell 335,East,Consumer,5/12/2013,Standard Class,Massachusetts,Art,0%,1,$3,29%,3,$9
Furniture,Lawrence,United States,Carol Triggs,Other,5/7/2013,CA-2011-166086,1841,"Lifetime Advantage Folding Chairs, 4/Carton",East,Consumer,5/12/2013,Standard Class,Massachusetts,Chairs,0%,1,$244,28%,4,$872
Technology,Philadelphia,United States,Kean Thornton,Hewlett-Packard,5/8/2013,CA-2011-116666,19134,Hewlett Packard LaserJet 3310 Copier,East,Consumer,5/10/2013,First Class,Pennsylvania,Copiers,40%,1,$240,13%,5,"$1,800"
Technology,San Francisco,United States,Patrick Gardner,Kingston,5/9/2013,US-2011-102071,94110,Kingston Digital DataTraveler 32GB USB 2.0,West,Consumer,5/15/2013,Standard Class,California,Accessories,0%,1,$4,6%,4,$68
Technology,San Francisco,United States,Patrick Gardner,Sony,5/9/2013,US-2011-102071,94110,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,West,Consumer,5/15/2013,Standard Class,California,Accessories,0%,1,$40,24%,3,$168
Office Supplies,Henderson,United States,Sean Braxton,Fellowes,5/9/2013,CA-2011-158771,42420,Fellowes Super Stor/Drawer,South,Corporate,5/9/2013,Same Day,Kentucky,Storage,0%,1,$15,18%,3,$83
Office Supplies,Henderson,United States,Sean Braxton,Avery,5/9/2013,CA-2011-158771,42420,Avery 518,South,Corporate,5/9/2013,Same Day,Kentucky,Labels,0%,1,$5,48%,3,$9
Office Supplies,Henderson,United States,Sean Braxton,Avery,5/9/2013,CA-2011-158771,42420,Avery 506,South,Corporate,5/9/2013,Same Day,Kentucky,Labels,0%,1,$9,46%,5,$21
Office Supplies,Henderson,United States,Sean Braxton,Other,5/9/2013,CA-2011-158771,42420,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),South,Corporate,5/9/2013,Same Day,Kentucky,Paper,0%,1,$22,48%,7,$45
Office Supplies,Kent,United States,Arianne Irving,Strathmore,5/10/2013,CA-2011-159709,98031,"Strathmore #10 Envelopes, Ultimate White",West,Consumer,5/15/2013,Standard Class,Washington,Envelopes,0%,1,$77,49%,3,$158
Technology,Kent,United States,Arianne Irving,Other,5/10/2013,CA-2011-159709,98031,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",West,Consumer,5/15/2013,Standard Class,Washington,Phones,20%,1,$4,10%,5,$44
Furniture,Philadelphia,United States,Art Foster,Bestar,5/10/2013,CA-2011-114181,19134,Bestar Classic Bookcase,East,Consumer,5/14/2013,Second Class,Pennsylvania,Bookcases,50%,1,-$217,-62%,7,$350
Office Supplies,Philadelphia,United States,Art Foster,Dixon,5/10/2013,CA-2011-114181,19134,DIXON Ticonderoga Erasable Checking Pencils,East,Consumer,5/14/2013,Second Class,Pennsylvania,Art,20%,1,$5,24%,5,$22
Office Supplies,San Jose,United States,Greg Matthias,Southworth,5/10/2013,CA-2011-103310,95123,Southworth 25% Cotton Premium Laser Paper and Envelopes,West,Consumer,5/15/2013,Standard Class,California,Paper,0%,1,$19,48%,2,$40
Technology,San Jose,United States,Greg Matthias,Other,5/10/2013,CA-2011-103310,95123,Wilson Electronics DB Pro Signal Booster,West,Consumer,5/15/2013,Standard Class,California,Phones,20%,1,$125,9%,5,"$1,432"
Office Supplies,San Jose,United States,Greg Matthias,Acme,5/10/2013,CA-2011-103310,95123,Acme Design Stainless Steel Bent Scissors,West,Consumer,5/15/2013,Standard Class,California,Supplies,0%,1,$11,27%,6,$41
Furniture,San Jose,United States,Greg Matthias,Hon,5/10/2013,CA-2011-103310,95123,Hon Pagoda Stacking Chairs,West,Consumer,5/15/2013,Standard Class,California,Chairs,20%,1,$32,13%,1,$257
Technology,Fort Worth,United States,Paul Gonzalez,SanDisk,5/11/2013,CA-2011-103849,76106,SanDisk Cruzer 64 GB USB Flash Drive,Central,Consumer,5/16/2013,Standard Class,Texas,Accessories,20%,1,$7,13%,2,$58
Technology,Fort Worth,United States,Paul Gonzalez,Other,5/11/2013,CA-2011-103849,76106,Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Central,Consumer,5/16/2013,Standard Class,Texas,Phones,20%,1,$6,6%,1,$101
Furniture,Fort Worth,United States,Paul Gonzalez,Deflect-o,5/11/2013,CA-2011-103849,76106,"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",Central,Consumer,5/16/2013,Standard Class,Texas,Furnishings,60%,1,-$84,-128%,4,$66
Technology,Houston,United States,Raymond Messe,Logitech,5/11/2013,CA-2011-139017,77095,Logitech ClearChat Comfort/USB Headset H390,Central,Consumer,5/17/2013,Standard Class,Texas,Accessories,20%,1,$8,16%,2,$47
Office Supplies,Watertown,United States,Brooke Gillingham,Staple holder,5/11/2013,CA-2011-127523,13601,Staple holder,East,Corporate,5/18/2013,Standard Class,New York,Appliances,0%,1,$10,27%,3,$36
Furniture,Huntsville,United States,Victoria Wilson,Hon,5/11/2013,CA-2011-152100,77340,Hon Multipurpose Stacking Arm Chairs,Central,Corporate,5/16/2013,Standard Class,Texas,Chairs,30%,1,-$69,-6%,8,"$1,213"
Office Supplies,Chicago,United States,Harold Dahlen,Other,5/11/2013,CA-2011-119172,60610,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Central,Home Office,5/15/2013,Standard Class,Illinois,Paper,20%,1,$6,33%,3,$17
Office Supplies,Chicago,United States,Harold Dahlen,Avery,5/11/2013,CA-2011-119172,60610,Avery Arch Ring Binders,Central,Home Office,5/15/2013,Standard Class,Illinois,Binders,80%,1,-$173,-165%,9,$105
Furniture,Milwaukee,United States,Hunter Lopez,DAX,5/12/2013,CA-2011-127159,53209,"DAX Value U-Channel Document Frames, Easel Back",Central,Consumer,5/15/2013,First Class,Wisconsin,Furnishings,0%,1,$11,31%,7,$35
Furniture,Franklin,United States,Kean Thornton,Bevis,5/12/2013,CA-2011-155887,2038,"Bevis Traditional Conference Table Top, Plinth Base",East,Consumer,5/17/2013,Standard Class,Massachusetts,Tables,30%,1,-$130,-19%,3,$700
Office Supplies,West Jordan,United States,Alejandro Grove,Fellowes,5/13/2013,CA-2011-167164,84084,Fellowes Super Stor/Drawer,West,Consumer,5/15/2013,Second Class,Utah,Storage,0%,1,$10,18%,2,$56
Office Supplies,Hialeah,United States,Erica Hernandez,Other,5/13/2013,CA-2011-140165,33012,Staples,South,Home Office,5/15/2013,First Class,Florida,Fasteners,20%,1,$2,34%,2,$7
Office Supplies,Hialeah,United States,Erica Hernandez,GBC,5/13/2013,CA-2011-140165,33012,GBC DocuBind P100 Manual Binding Machine,South,Home Office,5/15/2013,First Class,Florida,Binders,70%,1,-$332,-83%,8,$398
Technology,Oakland,United States,Naresj Patel,Plantronics,5/13/2013,CA-2011-114433,94601,Plantronics Audio 478 Stereo USB Headset,West,Consumer,5/17/2013,Standard Class,California,Accessories,0%,1,$52,35%,3,$150
Furniture,Los Angeles,United States,Aaron Hawkins,Iceberg,5/13/2013,CA-2011-113768,90004,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",West,Corporate,5/19/2013,Standard Class,California,Chairs,20%,1,$21,8%,6,$279
Office Supplies,Los Angeles,United States,Aaron Hawkins,Other,5/13/2013,CA-2011-113768,90004,EcoTones Memo Sheets,West,Corporate,5/19/2013,Standard Class,California,Paper,0%,1,$4,48%,2,$8
Furniture,Saint Petersburg,United States,Anthony Johnson,Electrix,5/14/2013,CA-2011-106810,33710,Electrix Halogen Magnifier Lamp,South,Corporate,5/20/2013,Standard Class,Florida,Furnishings,20%,1,$23,8%,2,$311
Furniture,Los Angeles,United States,Pauline Webber,Iceberg,5/16/2013,CA-2011-125150,90036,"Iceberg Nesting Folding Chair, 19w x 6d x 43h",West,Corporate,5/23/2013,Standard Class,California,Chairs,20%,1,$17,8%,5,$233
Technology,San Francisco,United States,Cindy Chapman,Imation,5/16/2013,US-2011-163146,94122,Imation Clip USB flash drive - 8 GB,West,Consumer,5/20/2013,Standard Class,California,Accessories,0%,1,$3,6%,3,$56
Office Supplies,Eau Claire,United States,Pete Armstrong,Other,5/17/2013,CA-2011-148761,54703,Surelock Post Binders,Central,Home Office,5/21/2013,Standard Class,Wisconsin,Binders,0%,1,$46,50%,3,$92
Technology,Cleveland,United States,Bruce Stewart,Apple,5/18/2013,CA-2011-103373,44105,Apple iPhone 5,East,Consumer,5/24/2013,Standard Class,Ohio,Phones,40%,1,-$169,-22%,2,$780
Furniture,Akron,United States,Ted Trevino,Deflect-o,5/18/2013,CA-2011-164224,44312,Deflect-o Glass Clear Studded Chair Mats,East,Consumer,5/20/2013,Second Class,Ohio,Furnishings,20%,1,$4,3%,3,$149
Office Supplies,Akron,United States,Ted Trevino,Xerox,5/18/2013,CA-2011-164224,44312,Xerox 1949,East,Consumer,5/20/2013,Second Class,Ohio,Paper,20%,1,$6,36%,4,$16
Office Supplies,Dallas,United States,George Ashbrook,Xerox,5/18/2013,CA-2011-133963,75220,Xerox 1949,Central,Consumer,5/22/2013,Second Class,Texas,Paper,20%,1,$1,36%,1,$4
Office Supplies,Midland,United States,John Huston,Avery,5/19/2013,US-2011-107699,48640,Avery Heavy-Duty EZD View Binder with Locking Rings,Central,Consumer,5/23/2013,Standard Class,Michigan,Binders,0%,1,$26,46%,9,$57
Office Supplies,Virginia Beach,United States,Tamara Dahlen,Acme,5/19/2013,CA-2011-130155,23464,Acme Design Stainless Steel Bent Scissors,South,Consumer,5/22/2013,First Class,Virginia,Supplies,0%,1,$9,27%,5,$34
Office Supplies,Dover,United States,Randy Ferguson,Acco,5/20/2013,US-2011-114188,3820,Acco 6 Outlet Guardian Basic Surge Suppressor,East,Corporate,5/22/2013,Second Class,New Hampshire,Appliances,0%,1,$9,28%,4,$33
Office Supplies,Dover,United States,Randy Ferguson,Sanford,5/20/2013,US-2011-114188,3820,"Sanford Colorific Scented Colored Pencils, 12/Pack",East,Corporate,5/22/2013,Second Class,New Hampshire,Art,0%,1,$12,31%,9,$39
Furniture,Dover,United States,Randy Ferguson,Other,5/20/2013,US-2011-114188,3820,24-Hour Round Wall Clock,East,Corporate,5/22/2013,Second Class,New Hampshire,Furnishings,0%,1,$60,43%,7,$140
Furniture,San Marcos,United States,Matt Collister,Other,5/20/2013,CA-2011-130673,78666,Contemporary Borderless Frame,Central,Corporate,5/22/2013,Second Class,Texas,Furnishings,60%,1,-$6,-58%,3,$10
Office Supplies,San Marcos,United States,Matt Collister,Xerox,5/20/2013,CA-2011-130673,78666,Xerox 213,Central,Corporate,5/22/2013,Second Class,Texas,Paper,20%,1,$4,35%,2,$10
Technology,San Marcos,United States,Matt Collister,SanDisk,5/20/2013,CA-2011-130673,78666,SanDisk Ultra 16 GB MicroSDHC Class 10 Memory Card,Central,Corporate,5/22/2013,Second Class,Texas,Accessories,20%,1,-$4,-18%,2,$21
Office Supplies,San Marcos,United States,Matt Collister,Rogers,5/20/2013,CA-2011-130673,78666,Rogers Profile Extra Capacity Storage Tub,Central,Corporate,5/22/2013,Second Class,Texas,Storage,20%,1,-$13,-20%,5,$67
Office Supplies,Virginia Beach,United States,Mitch Willingham,Fellowes,5/21/2013,CA-2011-117639,23464,Fellowes PB300 Plastic Comb Binding Machine,South,Corporate,5/25/2013,Standard Class,Virginia,Binders,0%,1,"$1,276",47%,7,"$2,716"
Technology,Virginia Beach,United States,Mitch Willingham,Plantronics,5/21/2013,CA-2011-117639,23464,Plantronics Voyager Pro Legend,South,Corporate,5/25/2013,Standard Class,Virginia,Phones,0%,1,$173,28%,3,$618
Office Supplies,San Diego,United States,Bradley Talbott,Other,5/21/2013,CA-2011-104780,92037,4009 Highlighters by Sanford,West,Home Office,5/25/2013,Standard Class,California,Art,0%,1,$11,33%,8,$32
Office Supplies,Lawrence,United States,Frank Gastineau,GBC,5/21/2013,CA-2011-152443,1841,GBC ProClick Punch Binding System,East,Home Office,5/26/2013,Standard Class,Massachusetts,Binders,0%,1,$219,49%,7,$448
Office Supplies,Lawrence,United States,Frank Gastineau,Xerox,5/21/2013,CA-2011-152443,1841,Xerox 1992,East,Home Office,5/26/2013,Standard Class,Massachusetts,Paper,0%,1,$9,49%,3,$18
Office Supplies,Lawrence,United States,Frank Gastineau,Belkin,5/21/2013,CA-2011-152443,1841,Belkin 8 Outlet Surge Protector,East,Home Office,5/26/2013,Standard Class,Massachusetts,Appliances,0%,1,$69,28%,6,$246
Office Supplies,Houston,United States,Katherine Hughes,Staple envelope,5/21/2013,CA-2011-127166,77070,Staple envelope,Central,Consumer,5/23/2013,Second Class,Texas,Envelopes,20%,1,$21,38%,6,$56
Furniture,Houston,United States,Katherine Hughes,Global,5/21/2013,CA-2011-127166,77070,Global Deluxe Steno Chair,Central,Consumer,5/23/2013,Second Class,Texas,Chairs,30%,1,-$29,-27%,2,$108
Office Supplies,Houston,United States,Katherine Hughes,Adams,5/21/2013,CA-2011-127166,77070,"Adams Telephone Message Books, 5 1/4” x 11”",Central,Consumer,5/23/2013,Second Class,Texas,Paper,20%,1,$2,34%,1,$5
Office Supplies,Houston,United States,Katherine Hughes,Ibico,5/21/2013,CA-2011-127166,77070,Ibico Plastic Spiral Binding Combs,Central,Consumer,5/23/2013,Second Class,Texas,Binders,80%,1,-$31,-170%,3,$18
Technology,Decatur,United States,Evan Henry,Nortel,5/22/2013,CA-2011-143840,35601,Nortel Networks T7316 E Nt8 B27,South,Consumer,5/29/2013,Standard Class,Alabama,Phones,0%,1,$34,25%,2,$136
Technology,Decatur,United States,Evan Henry,Plantronics,5/22/2013,CA-2011-143840,35601,Plantronics Encore H101 Dual Earpieces Headset,South,Consumer,5/29/2013,Standard Class,Alabama,Phones,0%,1,$13,28%,1,$45
Office Supplies,Philadelphia,United States,Andrew Roberts,Angle-D,5/23/2013,US-2011-105767,19134,Angle-D Ring Binders,East,Consumer,5/27/2013,Standard Class,Pennsylvania,Binders,70%,1,-$3,-80%,2,$3
Office Supplies,Philadelphia,United States,Andrew Roberts,Newell,5/23/2013,US-2011-105767,19134,Newell 317,East,Consumer,5/27/2013,Standard Class,Pennsylvania,Art,20%,1,$2,11%,9,$21
Technology,Philadelphia,United States,Andrew Roberts,Motorola,5/23/2013,US-2011-105767,19134,Motorola L804,East,Consumer,5/27/2013,Standard Class,Pennsylvania,Phones,40%,1,-$10,-18%,2,$55
Office Supplies,Bellevue,United States,Erica Hackney,Xerox,5/23/2013,CA-2011-138513,98006,Xerox 1999,West,Consumer,5/27/2013,Standard Class,Washington,Paper,0%,1,$6,48%,2,$13
Office Supplies,New York City,United States,Greg Tran,Avery,5/23/2013,US-2011-135881,10035,Avery Non-Stick Binders,East,Consumer,5/27/2013,Standard Class,New York,Binders,20%,1,$6,33%,5,$18
Office Supplies,New York City,United States,Greg Tran,Other,5/23/2013,US-2011-135881,10035,Letter Slitter,East,Consumer,5/27/2013,Standard Class,New York,Supplies,0%,1,$0,3%,2,$5
Office Supplies,New York City,United States,Greg Tran,Other,5/23/2013,US-2011-135881,10035,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",East,Consumer,5/27/2013,Standard Class,New York,Appliances,0%,1,$56,27%,1,$208
Office Supplies,Baltimore,United States,Resi Pölking,Xerox,5/24/2013,CA-2011-143413,21215,Xerox 1944,East,Consumer,5/30/2013,Standard Class,Maryland,Paper,0%,1,$57,49%,3,$116
Office Supplies,Chicago,United States,Janet Lee,Harmony,5/25/2013,US-2011-130379,60623,Harmony Air Purifier,Central,Consumer,5/29/2013,Standard Class,Illinois,Appliances,80%,1,-$166,-220%,2,$76
Furniture,Chicago,United States,Janet Lee,Electrix,5/25/2013,US-2011-130379,60623,"Electrix Incandescent Magnifying Lamp, Black",Central,Consumer,5/29/2013,Standard Class,Illinois,Furnishings,60%,1,-$24,-83%,2,$29
Office Supplies,New York City,United States,Barry Weirich,Strathmore,5/25/2013,CA-2011-100391,10035,Strathmore Photo Frame Cards,East,Consumer,5/29/2013,Standard Class,New York,Paper,0%,1,$7,46%,2,$15
Furniture,Los Angeles,United States,Marina Lichtenstein,Sauder,5/26/2013,CA-2011-156349,90008,Sauder Inglewood Library Bookcases,West,Corporate,5/30/2013,Standard Class,California,Bookcases,15%,1,$27,9%,2,$291
Technology,Los Angeles,United States,Marina Lichtenstein,Other,5/26/2013,CA-2011-156349,90008,VTech DS6151,West,Corporate,5/30/2013,Standard Class,California,Phones,20%,1,$20,10%,2,$202
Technology,Los Angeles,United States,Marina Lichtenstein,Other,5/26/2013,CA-2011-156349,90008,netTALK DUO VoIP Telephone Service,West,Corporate,5/30/2013,Standard Class,California,Phones,20%,1,$31,38%,2,$84
Furniture,Los Angeles,United States,Herbert Flentye,Hon,5/26/2013,CA-2011-158029,90008,Hon Olson Stacker Stools,West,Consumer,5/30/2013,Standard Class,California,Chairs,20%,1,$23,10%,2,$225
Office Supplies,Murray,United States,Dean percer,Wirebound,5/26/2013,CA-2011-129574,84107,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Home Office,5/29/2013,First Class,Utah,Paper,0%,1,$23,48%,5,$48
Office Supplies,Chicago,United States,Michelle Moray,SAFCO,5/26/2013,CA-2011-144029,60623,"SAFCO Mobile Desk Side File, Wire Frame",Central,Consumer,5/31/2013,Standard Class,Illinois,Storage,20%,1,$8,8%,3,$103
Furniture,Chicago,United States,Michelle Moray,Global,5/26/2013,CA-2011-144029,60623,Global Commerce Series Low-Back Swivel/Tilt Chairs,Central,Consumer,5/31/2013,Standard Class,Illinois,Chairs,30%,1,-$5,-1%,2,$360
Office Supplies,Chicago,United States,Michelle Moray,Dixon,5/26/2013,CA-2011-144029,60623,DIXON Ticonderoga Erasable Checking Pencils,Central,Consumer,5/31/2013,Standard Class,Illinois,Art,20%,1,$3,24%,3,$13
Furniture,San Diego,United States,Maya Herman,KI,5/27/2013,CA-2011-124429,92105,KI Conference Tables,West,Corporate,5/27/2013,Same Day,California,Tables,20%,1,-$28,-5%,10,$567
Office Supplies,San Diego,United States,Maya Herman,Fellowes,5/27/2013,CA-2011-124429,92105,Fellowes Officeware Wire Shelving,West,Corporate,5/27/2013,Same Day,California,Storage,0%,1,$7,2%,4,$359
Technology,San Francisco,United States,Lena Creighton,Plantronics,5/27/2013,CA-2011-139192,94109,Plantronics HL10 Handset Lifter,West,Consumer,6/1/2013,Second Class,California,Phones,20%,1,$125,11%,12,"$1,114"
Technology,San Francisco,United States,Lena Creighton,Logitech,5/27/2013,CA-2011-139192,94109,Logitech Wireless Performance Mouse MX for PC and Mac,West,Consumer,6/1/2013,Second Class,California,Accessories,0%,1,$38,38%,1,$100
Office Supplies,Chicago,United States,Laurel Elliston,Fellowes,5/27/2013,US-2011-117058,60653,Fellowes Presentation Covers for Comb Binding Machines,Central,Consumer,5/30/2013,First Class,Illinois,Binders,80%,1,-$31,-175%,6,$17
Technology,Seattle,United States,Patrick Jones,Other,5/28/2013,CA-2011-135993,98115,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,West,Corporate,6/2/2013,Standard Class,Washington,Phones,20%,1,$6,10%,6,$57
Technology,Seattle,United States,Patrick Jones,Imation,5/28/2013,CA-2011-135993,98115,Imation 30456 USB Flash Drive 8GB,West,Corporate,6/2/2013,Standard Class,Washington,Accessories,0%,1,$2,8%,4,$28
Office Supplies,Seattle,United States,Magdelene Morse,Other,5/28/2013,CA-2011-108861,98105,"Green Canvas Binder for 8-1/2"" x 14"" Sheets",West,Consumer,6/1/2013,Standard Class,Washington,Binders,20%,1,$51,38%,4,$137
Office Supplies,Richmond,United States,Ellis Ballard,Ampad,5/30/2013,CA-2011-146885,23223,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",South,Corporate,6/5/2013,Standard Class,Virginia,Paper,0%,1,$6,45%,3,$14
Furniture,Buffalo Grove,United States,Shahid Shariari,Chromcraft,5/30/2013,CA-2011-145800,60089,Chromcraft Rectangular Conference Tables,Central,Consumer,6/5/2013,Standard Class,Illinois,Tables,50%,1,-$185,-52%,3,$355
Office Supplies,New York City,United States,James Galang,Wilson Jones,5/30/2013,CA-2011-105872,10024,Wilson Jones Legal Size Ring Binders,East,Consumer,6/6/2013,Standard Class,New York,Binders,20%,1,$26,38%,4,$70
Office Supplies,New York City,United States,Laurel Workman,GBC,5/30/2013,CA-2011-103429,10024,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",East,Corporate,6/1/2013,First Class,New York,Binders,20%,1,$9,35%,2,$26
Technology,New York City,United States,Laurel Workman,Other,5/30/2013,CA-2011-103429,10024,Geemarc AmpliPOWER60,East,Corporate,6/1/2013,First Class,New York,Phones,0%,1,$135,29%,5,$464
